cr_id,filename,page_num,page_classification,dropbox_path,doccloud_url
1062611,LOG_1062611.pdf,13,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051911-log_1062611pdf
1062619,LOG_1062619.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037939-log_1062619pdf
1062619,LOG_1062619.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037939-log_1062619pdf
1062619,LOG_1062619.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037939-log_1062619pdf
1062619,LOG_1062619.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037939-log_1062619pdf
1062633,LOG_1062633.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037892-log_1062633pdf
1062633,LOG_1062633.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037892-log_1062633pdf
1062633,LOG_1062633.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037892-log_1062633pdf
1062633,LOG_1062633.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037892-log_1062633pdf
1062634,LOG_1062634.pdf,16,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20036267-log_1062634pdf
1062634,LOG_1062634.pdf,17,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20036267-log_1062634pdf
1062634,LOG_1062634.pdf,18,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20036267-log_1062634pdf
1062634,LOG_1062634.pdf,19,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20036267-log_1062634pdf
1062677,LOG_1062677.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054069-log_1062677pdf
1062677,LOG_1062677.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054069-log_1062677pdf
1062677,LOG_1062677.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054069-log_1062677pdf
1062677,LOG_1062677.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054069-log_1062677pdf
1062679,LOG_1062679.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20036511-log_1062679pdf
1062679,LOG_1062679.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20036511-log_1062679pdf
1062679,LOG_1062679.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20036511-log_1062679pdf
1062679,LOG_1062679.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20036511-log_1062679pdf
1062696,LOG_1062696.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051015-log_1062696pdf
1062696,LOG_1062696.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051015-log_1062696pdf
1062696,LOG_1062696.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051015-log_1062696pdf
1062696,LOG_1062696.pdf,13,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051015-log_1062696pdf
1062739,LOG_1062739.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035570-log_1062739pdf
1062739,LOG_1062739.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035570-log_1062739pdf
1062739,LOG_1062739.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035570-log_1062739pdf
1062739,LOG_1062739.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035570-log_1062739pdf
1062762,LOG_1062762.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035519-log_1062762pdf
1062762,LOG_1062762.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035519-log_1062762pdf
1062762,LOG_1062762.pdf,13,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035519-log_1062762pdf
1062762,LOG_1062762.pdf,14,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035519-log_1062762pdf
1062782,LOG_1062782.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062782,LOG_1062782.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062782,LOG_1062782.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062782,LOG_1062782.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062782,LOG_1062782.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062782,LOG_1062782.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062782,LOG_1062782.pdf,14,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062782,LOG_1062782.pdf,15,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062782,LOG_1062782.pdf,16,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062782,LOG_1062782.pdf,17,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037327-log_1062782pdf
1062810,LOG_1062810.pdf,6,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20053700-log_1062810pdf
1062810,LOG_1062810.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20053700-log_1062810pdf
1062810,LOG_1062810.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20053700-log_1062810pdf
1062810,LOG_1062810.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20053700-log_1062810pdf
1062827,LOG_1062827.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054330-log_1062827pdf
1062827,LOG_1062827.pdf,6,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054330-log_1062827pdf
1062827,LOG_1062827.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054330-log_1062827pdf
1062827,LOG_1062827.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054330-log_1062827pdf
1062848,LOG_1062848.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051145-log_1062848pdf
1062848,LOG_1062848.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051145-log_1062848pdf
1062848,LOG_1062848.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051145-log_1062848pdf
1062848,LOG_1062848.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051145-log_1062848pdf
1062869,LOG_1062869.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20052112-log_1062869pdf
1062869,LOG_1062869.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20052112-log_1062869pdf
1062869,LOG_1062869.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20052112-log_1062869pdf
1062869,LOG_1062869.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20052112-log_1062869pdf
1062883,LOG_1062883.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051099-log_1062883pdf
1062883,LOG_1062883.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051099-log_1062883pdf
1062883,LOG_1062883.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051099-log_1062883pdf
1062883,LOG_1062883.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20051099-log_1062883pdf
1062884,LOG_1062884.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035793-log_1062884pdf
1062884,LOG_1062884.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035793-log_1062884pdf
1062884,LOG_1062884.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035793-log_1062884pdf
1062884,LOG_1062884.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20035793-log_1062884pdf
1062955,LOG_1062955.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037749-log_1062955pdf
