"Production::Begin Bates","Production::End Bates","File Name","Log Number","FILE_PATH"
"CPD 0038878","CPD 0038880","LOG_1051935.zip?2012-1.LOG_1051935.004.CR_Attachment_---_DOCID_824430.pdf","LOG_1051935",""
"CPD 0038881","CPD 0038883","LOG_1051935.zip?2012-1.LOG_1051935.005.CR_Attachment_---_DOCID_824431.pdf","LOG_1051935",""
"CPD 0038884","CPD 0038886","LOG_1051937.zip?2012-1.LOG_1051937.001.CR Summary.pdf","LOG_1051937",""
"CPD 0038887","CPD 0038887","LOG_1051937.zip?2012-1.LOG_1051937.002.CR Face Sheet.pdf","LOG_1051937",""
"CPD 0038888","CPD 0038888","LOG_1051937.zip?2012-1.LOG_1051937.004.CR_Attachment_---_DOCID_824464.pdf","LOG_1051937",""
"CPD 0038889","CPD 0038891","LOG_1051938.zip?2012-1.LOG_1051938.001.CR Summary.pdf","LOG_1051938",""
"CPD 0038892","CPD 0038892","LOG_1051938.zip?2012-1.LOG_1051938.002.CR Face Sheet.pdf","LOG_1051938",""
"CPD 0038893","CPD 0038896","LOG_1051938.zip?2012-1.LOG_1051938.004.CR_Attachment_---_DOCID_824435.pdf","LOG_1051938",""
"CPD 0038897","CPD 0038899","LOG_1051942.zip?2012-1.LOG_1051942.001.CR Summary.pdf","LOG_1051942",""
"CPD 0038900","CPD 0038900","LOG_1051942.zip?2012-1.LOG_1051942.002.CR Face Sheet.pdf","LOG_1051942",""
"CPD 0038901","CPD 0038903","LOG_1051942.zip?2012-1.LOG_1051942.004.CR_Attachment_---_DOCID_824359.pdf","LOG_1051942",""
"CPD 0038904","CPD 0038907","LOG_1051942.zip?2012-1.LOG_1051942.005.CR_Attachment_---_DOCID_824440.pdf","LOG_1051942",""
"CPD 0038908","CPD 0038910","LOG_1051945.zip?2012-1.LOG_1051945.001.CR Summary.pdf","LOG_1051945",""
"CPD 0038911","CPD 0038912","LOG_1051945.zip?2012-1.LOG_1051945.002.CR Face Sheet.pdf","LOG_1051945",""
"CPD 0038913","CPD 0038913","LOG_1051945.zip?2012-1.LOG_1051945.004.CR_Attachment_---_DOCID_824461.pdf","LOG_1051945",""
"CPD 0038914","CPD 0038916","LOG_1051949.zip?2012-1.LOG_1051949.001.CR Summary.pdf","LOG_1051949",""
"CPD 0038917","CPD 0038918","LOG_1051949.zip?2012-1.LOG_1051949.002.CR Face Sheet.pdf","LOG_1051949",""
"CPD 0038919","CPD 0038919","LOG_1051949.zip?2012-1.LOG_1051949.004.CR_Attachment_---_DOCID_824508.pdf","LOG_1051949",""
"CPD 0038920","CPD 0038922","LOG_1051958.zip?2012-1.LOG_1051958.001.CR Summary.pdf","LOG_1051958",""
"CPD 0038923","CPD 0038924","LOG_1051958.zip?2012-1.LOG_1051958.002.CR Face Sheet.pdf","LOG_1051958",""
"CPD 0038925","CPD 0038932","LOG_1051958.zip?2012-1.LOG_1051958.004.CR_Attachment_---_DOCID_824969.pdf","LOG_1051958",""
"CPD 0038933","CPD 0038935","LOG_1051963.zip?2012-1.LOG_1051963.001.CR Summary.pdf","LOG_1051963",""
"CPD 0038936","CPD 0038937","LOG_1051963.zip?2012-1.LOG_1051963.002.CR Face Sheet.pdf","LOG_1051963",""
"CPD 0038938","CPD 0038939","LOG_1051963.zip?2012-1.LOG_1051963.004.CR_Attachment_---_DOCID_824968.pdf","LOG_1051963",""
"CPD 0038940","CPD 0038942","LOG_1051969.zip?2012-1.LOG_1051969.001.CR Summary.pdf","LOG_1051969",""
"CPD 0038943","CPD 0038943","LOG_1051969.zip?2012-1.LOG_1051969.002.CR Face Sheet.pdf","LOG_1051969",""
"CPD 0038944","CPD 0038944","LOG_1051969.zip?2012-1.LOG_1051969.004.CR_Attachment_---_DOCID_824618.pdf","LOG_1051969",""
"CPD 0038945","CPD 0038947","LOG_1051971.zip?2012-1.LOG_1051971.001.CR Summary.pdf","LOG_1051971",""
"CPD 0038948","CPD 0038949","LOG_1051971.zip?2012-1.LOG_1051971.002.CR Face Sheet.pdf","LOG_1051971",""
"CPD 0038950","CPD 0038950","LOG_1051971.zip?2012-1.LOG_1051971.004.CR_Attachment_---_DOCID_824616.pdf","LOG_1051971",""
"CPD 0038951","CPD 0038951","LOG_1051971.zip?2012-1.LOG_1051971.005.CR_Attachment_---_DOCID_824617.pdf","LOG_1051971",""
