"Production::Begin Bates","Production::End Bates","Log Number"
"CPD 0030003","CPD 0030007","LOG_1051816"
"CPD 0030008","CPD 0030010","LOG_1051817"
"CPD 0030011","CPD 0030012","LOG_1051817"
"CPD 0030013","CPD 0030015","LOG_1051817"
"CPD 0030016","CPD 0030018","LOG_1051818"
"CPD 0030019","CPD 0030020","LOG_1051818"
"CPD 0030021","CPD 0030022","LOG_1051818"
"CPD 0030023","CPD 0030025","LOG_1051818"
"CPD 0030026","CPD 0030026","LOG_1051818"
"CPD 0030027","CPD 0030029","LOG_1051819"
"CPD 0030030","CPD 0030031","LOG_1051819"
"CPD 0030032","CPD 0030032","LOG_1051819"
"CPD 0030033","CPD 0030043","LOG_1051819"
"CPD 0030044","CPD 0030047","LOG_1051820"
"CPD 0030048","CPD 0030049","LOG_1051820"
"CPD 0030050","CPD 0030050","LOG_1051820"
"CPD 0030051","CPD 0030051","LOG_1051820"
"CPD 0030052","CPD 0030054","LOG_1051820"
"CPD 0030055","CPD 0030056","LOG_1051820"
"CPD 0030057","CPD 0030060","LOG_1051820"
"CPD 0030061","CPD 0030082","LOG_1051820"
"CPD 0030083","CPD 0030086","LOG_1051820"
"CPD 0030087","CPD 0030090","LOG_1051820"
"CPD 0030091","CPD 0030106","LOG_1051820"
"CPD 0030107","CPD 0030112","LOG_1051820"
"CPD 0030113","CPD 0030117","LOG_1051820"
"CPD 0030118","CPD 0030120","LOG_1051821"
"CPD 0030121","CPD 0030122","LOG_1051821"
"CPD 0030123","CPD 0030123","LOG_1051821"
"CPD 0030124","CPD 0030125","LOG_1051821"
"CPD 0030126","CPD 0030126","LOG_1051821"
"CPD 0030127","CPD 0030129","LOG_1051822"
"CPD 0030130","CPD 0030131","LOG_1051822"
"CPD 0030132","CPD 0030132","LOG_1051822"
"CPD 0030133","CPD 0030133","LOG_1051822"
"CPD 0030134","CPD 0030134","LOG_1051822"
"CPD 0030135","CPD 0030135","LOG_1051822"
"CPD 0030136","CPD 0030143","LOG_1051822"
"CPD 0030144","CPD 0030144","LOG_1051822"
"CPD 0030145","CPD 0030152","LOG_1051822"
"CPD 0030153","CPD 0030153","LOG_1051822"
"CPD 0030154","CPD 0030154","LOG_1051822"
"CPD 0030155","CPD 0030155","LOG_1051822"
"CPD 0030156","CPD 0030156","LOG_1051822"
"CPD 0030157","CPD 0030159","LOG_1051824"
"CPD 0030160","CPD 0030161","LOG_1051824"
"CPD 0030162","CPD 0030164","LOG_1051826"
"CPD 0030165","CPD 0030166","LOG_1051826"
"CPD 0030167","CPD 0030169","LOG_1051827"
"CPD 0030170","CPD 0030170","LOG_1051827"
"CPD 0030171","CPD 0030173","LOG_1051828"
"CPD 0030174","CPD 0030175","LOG_1051828"
"CPD 0030176","CPD 0030178","LOG_1051828"
"CPD 0030179","CPD 0030181","LOG_1051830"
"CPD 0030182","CPD 0030183","LOG_1051830"
"CPD 0030184","CPD 0030186","LOG_1051831"
"CPD 0030187","CPD 0030188","LOG_1051831"
"CPD 0030189","CPD 0030191","LOG_1051833"
"CPD 0030192","CPD 0030193","LOG_1051833"
"CPD 0030194","CPD 0030196","LOG_1051835"
"CPD 0030197","CPD 0030198","LOG_1051835"
"CPD 0030199","CPD 0030206","LOG_1051835"
"CPD 0030207","CPD 0030209","LOG_1051836"
"CPD 0030210","CPD 0030211","LOG_1051836"
"CPD 0030212","CPD 0030214","LOG_1051836"
"CPD 0030215","CPD 0030217","LOG_1051845"
"CPD 0030218","CPD 0030218","LOG_1051845"
"CPD 0030219","CPD 0030220","LOG_1051847"
"CPD 0030221","CPD 0030221","LOG_1051847"
"CPD 0030222","CPD 0030224","LOG_1051848"
"CPD 0030225","CPD 0030226","LOG_1051848"
"CPD 0030227","CPD 0030229","LOG_1051857"
"CPD 0030230","CPD 0030231","LOG_1051857"
"CPD 0030232","CPD 0030234","LOG_1051859"
"CPD 0030235","CPD 0030236","LOG_1051859"
"CPD 0030237","CPD 0030239","LOG_1051863"
"CPD 0030240","CPD 0030241","LOG_1051863"
"CPD 0030242","CPD 0030244","LOG_1051864"
"CPD 0030245","CPD 0030246","LOG_1051864"
"CPD 0030247","CPD 0030248","LOG_1051866"
"CPD 0030249","CPD 0030250","LOG_1051866"
"CPD 0030251","CPD 0030253","LOG_1051867"
"CPD 0030254","CPD 0030255","LOG_1051867"
"CPD 0030256","CPD 0030258","LOG_1051872"
"CPD 0030259","CPD 0030260","LOG_1051872"
"CPD 0030261","CPD 0030263","LOG_1051873"
"CPD 0030264","CPD 0030265","LOG_1051873"
"CPD 0030266","CPD 0030268","LOG_1051876"
"CPD 0030269","CPD 0030270","LOG_1051876"
"CPD 0030271","CPD 0030272","LOG_1051877"
"CPD 0030273","CPD 0030273","LOG_1051877"
"CPD 0030274","CPD 0030276","LOG_1051878"
"CPD 0030277","CPD 0030278","LOG_1051878"
"CPD 0030279","CPD 0030281","LOG_1051882"
"CPD 0030282","CPD 0030283","LOG_1051882"
"CPD 0030284","CPD 0030286","LOG_1051890"
"CPD 0030287","CPD 0030287","LOG_1051890"
"CPD 0030288","CPD 0030290","LOG_1051893"
"CPD 0030291","CPD 0030292","LOG_1051893"
"CPD 0030293","CPD 0030295","LOG_1051895"
"CPD 0030296","CPD 0030297","LOG_1051895"
"CPD 0030298","CPD 0030300","LOG_1051896"
"CPD 0030301","CPD 0030302","LOG_1051896"
"CPD 0030303","CPD 0030305","LOG_1051900"
"CPD 0030306","CPD 0030307","LOG_1051900"
"CPD 0030308","CPD 0030310","LOG_1051902"
"CPD 0030311","CPD 0030311","LOG_1051902"
"CPD 0030312","CPD 0030314","LOG_1051909"
"CPD 0030315","CPD 0030316","LOG_1051909"
"CPD 0030317","CPD 0030319","LOG_1051910"
"CPD 0030320","CPD 0030320","LOG_1051910"
"CPD 0030321","CPD 0030323","LOG_1051911"
"CPD 0030324","CPD 0030325","LOG_1051911"
"CPD 0030326","CPD 0030328","LOG_1051912"
"CPD 0030329","CPD 0030330","LOG_1051912"
"CPD 0030331","CPD 0030333","LOG_1051916"
"CPD 0030334","CPD 0030335","LOG_1051916"
"CPD 0030336","CPD 0030338","LOG_1051918"
"CPD 0030339","CPD 0030339","LOG_1051918"
"CPD 0030340","CPD 0030342","LOG_1051922"
"CPD 0030343","CPD 0030344","LOG_1051922"
"CPD 0030345","CPD 0030346","LOG_1051923"
"CPD 0030347","CPD 0030347","LOG_1051923"
"CPD 0030348","CPD 0030350","LOG_1051925"
"CPD 0030351","CPD 0030351","LOG_1051925"
"CPD 0030352","CPD 0030354","LOG_1051939"
"CPD 0030355","CPD 0030356","LOG_1051939"
"CPD 0030357","CPD 0030359","LOG_1051941"
"CPD 0030360","CPD 0030361","LOG_1051941"
"CPD 0030362","CPD 0030364","LOG_1051943"
"CPD 0030365","CPD 0030365","LOG_1051943"
"CPD 0030366","CPD 0030368","LOG_1051946"
"CPD 0030369","CPD 0030369","LOG_1051946"
"CPD 0030370","CPD 0030372","LOG_1051948"
"CPD 0030373","CPD 0030374","LOG_1051948"
"CPD 0030375","CPD 0030377","LOG_1051953"
"CPD 0030378","CPD 0030378","LOG_1051953"
"CPD 0030379","CPD 0030381","LOG_1051954"
"CPD 0030382","CPD 0030383","LOG_1051954"
"CPD 0030384","CPD 0030386","LOG_1051956"
"CPD 0030387","CPD 0030388","LOG_1051956"
"CPD 0030389","CPD 0030391","LOG_1051959"
"CPD 0030392","CPD 0030393","LOG_1051959"
"CPD 0030394","CPD 0030396","LOG_1051960"
"CPD 0030397","CPD 0030398","LOG_1051960"
"CPD 0030399","CPD 0030401","LOG_1051961"
"CPD 0030402","CPD 0030403","LOG_1051961"
"CPD 0030404","CPD 0030406","LOG_1051962"
"CPD 0030407","CPD 0030408","LOG_1051962"
"CPD 0030409","CPD 0030411","LOG_1051967"
"CPD 0030412","CPD 0030413","LOG_1051967"
"CPD 0030414","CPD 0030416","LOG_1051970"
"CPD 0030417","CPD 0030418","LOG_1051970"
"CPD 0030419","CPD 0030421","LOG_1051980"
"CPD 0030422","CPD 0030423","LOG_1051980"
"CPD 0030424","CPD 0030426","LOG_1051983"
"CPD 0030427","CPD 0030428","LOG_1051983"
"CPD 0030429","CPD 0030431","LOG_1051986"
"CPD 0030432","CPD 0030433","LOG_1051986"
"CPD 0030434","CPD 0030436","LOG_1051994"
"CPD 0030437","CPD 0030438","LOG_1051994"
"CPD 0030439","CPD 0030441","LOG_1051999"
"CPD 0030442","CPD 0030443","LOG_1051999"
"CPD 0030444","CPD 0030446","LOG_1052000"
"CPD 0030447","CPD 0030448","LOG_1052000"
"CPD 0030449","CPD 0030450","LOG_1052001"
"CPD 0030451","CPD 0030451","LOG_1052001"
"CPD 0030452","CPD 0030454","LOG_1052003"
"CPD 0030455","CPD 0030456","LOG_1052003"
"CPD 0030457","CPD 0030459","LOG_1052005"
"CPD 0030460","CPD 0030461","LOG_1052005"
"CPD 0030462","CPD 0030464","LOG_1052007"
"CPD 0030465","CPD 0030466","LOG_1052007"
"CPD 0030467","CPD 0030469","LOG_1052013"
"CPD 0030470","CPD 0030471","LOG_1052013"
"CPD 0030472","CPD 0030474","LOG_1052014"
"CPD 0030475","CPD 0030476","LOG_1052014"
"CPD 0030477","CPD 0030479","LOG_1052016"
"CPD 0030480","CPD 0030481","LOG_1052016"
"CPD 0030482","CPD 0030484","LOG_1052017"
"CPD 0030485","CPD 0030486","LOG_1052017"
"CPD 0030487","CPD 0030489","LOG_1052018"
"CPD 0030490","CPD 0030491","LOG_1052018"
"CPD 0030492","CPD 0030493","LOG_1052019"
"CPD 0030494","CPD 0030494","LOG_1052019"
"CPD 0030495","CPD 0030497","LOG_1052020"
"CPD 0030498","CPD 0030498","LOG_1052020"
"CPD 0030499","CPD 0030501","LOG_1052022"
"CPD 0030502","CPD 0030503","LOG_1052022"
"CPD 0030504","CPD 0030506","LOG_1052028"
"CPD 0030507","CPD 0030507","LOG_1052028"
"CPD 0030508","CPD 0030510","LOG_1052037"
"CPD 0030511","CPD 0030512","LOG_1052037"
"CPD 0030513","CPD 0030514","LOG_1052039"
"CPD 0030515","CPD 0030516","LOG_1052039"
"CPD 0030517","CPD 0030519","LOG_1052045"
"CPD 0030520","CPD 0030521","LOG_1052045"
"CPD 0030522","CPD 0030524","LOG_1052046"
"CPD 0030525","CPD 0030526","LOG_1052046"
"CPD 0030527","CPD 0030528","LOG_1052048"
"CPD 0030529","CPD 0030529","LOG_1052048"
"CPD 0030530","CPD 0030532","LOG_1052049"
"CPD 0030533","CPD 0030534","LOG_1052049"
"CPD 0030535","CPD 0030537","LOG_1052061"
"CPD 0030538","CPD 0030538","LOG_1052061"
"CPD 0030539","CPD 0030541","LOG_1052063"
"CPD 0030542","CPD 0030543","LOG_1052063"
"CPD 0030544","CPD 0030546","LOG_1052065"
"CPD 0030547","CPD 0030547","LOG_1052065"
"CPD 0030548","CPD 0030550","LOG_1052069"
"CPD 0030551","CPD 0030552","LOG_1052069"
"CPD 0030553","CPD 0030555","LOG_1052071"
"CPD 0030556","CPD 0030557","LOG_1052071"
"CPD 0030558","CPD 0030560","LOG_1052075"
"CPD 0030561","CPD 0030562","LOG_1052075"
"CPD 0030563","CPD 0030565","LOG_1052077"
"CPD 0030566","CPD 0030567","LOG_1052077"
"CPD 0030568","CPD 0030570","LOG_1052078"
"CPD 0030571","CPD 0030571","LOG_1052078"
"CPD 0030572","CPD 0030572","LOG_1052078"
"CPD 0030573","CPD 0030575","LOG_1052085"
"CPD 0030576","CPD 0030577","LOG_1052085"
"CPD 0030578","CPD 0030580","LOG_1052086"
"CPD 0030581","CPD 0030582","LOG_1052086"
"CPD 0030583","CPD 0030585","LOG_1052087"
"CPD 0030586","CPD 0030587","LOG_1052087"
"CPD 0030588","CPD 0030589","LOG_1052087"
"CPD 0030590","CPD 0030591","LOG_1052087"
"CPD 0030592","CPD 0030594","LOG_1052088"
"CPD 0030595","CPD 0030596","LOG_1052088"
"CPD 0030597","CPD 0030598","LOG_1052088"
"CPD 0030599","CPD 0030599","LOG_1052088"
"CPD 0030600","CPD 0030600","LOG_1052088"
"CPD 0030601","CPD 0030605","LOG_1052088"
"CPD 0030606","CPD 0030610","LOG_1052088"
"CPD 0030611","CPD 0030613","LOG_1052088"
"CPD 0030614","CPD 0030616","LOG_1052088"
"CPD 0030617","CPD 0030617","LOG_1052088"
"CPD 0030618","CPD 0030620","LOG_1052089"
"CPD 0030621","CPD 0030622","LOG_1052089"
"CPD 0030623","CPD 0030625","LOG_1052089"
"CPD 0030626","CPD 0030631","LOG_1052089"
"CPD 0030632","CPD 0030634","LOG_1052089"
"CPD 0030635","CPD 0030635","LOG_1052089"
"CPD 0030636","CPD 0030643","LOG_1052089"
"CPD 0030644","CPD 0030649","LOG_1052089"
"CPD 0030650","CPD 0030664","LOG_1052089"
"CPD 0030665","CPD 0030665","LOG_1052089"
"CPD 0030666","CPD 0030666","LOG_1052089"
"CPD 0030667","CPD 0030669","LOG_1052090"
"CPD 0030670","CPD 0030671","LOG_1052090"
"CPD 0030672","CPD 0030676","LOG_1052090"
"CPD 0030677","CPD 0030678","LOG_1052090"
"CPD 0030679","CPD 0030680","LOG_1052090"
"CPD 0030681","CPD 0030683","LOG_1052093"
"CPD 0030684","CPD 0030685","LOG_1052093"
"CPD 0030686","CPD 0030686","LOG_1052093"
"CPD 0030687","CPD 0030687","LOG_1052093"
"CPD 0030688","CPD 0030714","LOG_1052093"
"CPD 0030715","CPD 0030715","LOG_1052093"
"CPD 0030716","CPD 0030717","LOG_1052093"
"CPD 0030718","CPD 0030718","LOG_1052093"
"CPD 0030719","CPD 0030719","LOG_1052093"
"CPD 0030720","CPD 0030721","LOG_1052093"
"CPD 0030722","CPD 0030753","LOG_1052093"
"CPD 0030754","CPD 0030761","LOG_1052093"
"CPD 0030762","CPD 0030765","LOG_1052094"
"CPD 0030766","CPD 0030767","LOG_1052094"
"CPD 0030768","CPD 0030768","LOG_1052094"
"CPD 0030769","CPD 0030769","LOG_1052094"
"CPD 0030770","CPD 0030770","LOG_1052094"
"CPD 0030771","CPD 0030771","LOG_1052094"
"CPD 0030772","CPD 0030772","LOG_1052094"
"CPD 0030773","CPD 0030774","LOG_1052094"
"CPD 0030775","CPD 0030775","LOG_1052094"
"CPD 0030776","CPD 0030776","LOG_1052094"
"CPD 0030777","CPD 0030778","LOG_1052094"
"CPD 0030779","CPD 0030779","LOG_1052094"
"CPD 0030780","CPD 0030780","LOG_1052094"
"CPD 0030781","CPD 0030781","LOG_1052094"
"CPD 0030782","CPD 0030782","LOG_1052094"
"CPD 0030783","CPD 0030784","LOG_1052094"
"CPD 0030785","CPD 0030785","LOG_1052094"
"CPD 0030786","CPD 0030786","LOG_1052094"
"CPD 0030787","CPD 0030789","LOG_1052095"
"CPD 0030790","CPD 0030791","LOG_1052095"
"CPD 0030792","CPD 0030794","LOG_1052097"
"CPD 0030795","CPD 0030796","LOG_1052097"
"CPD 0030797","CPD 0030799","LOG_1052099"
"CPD 0030800","CPD 0030801","LOG_1052099"
"CPD 0030802","CPD 0030806","LOG_1052099"
"CPD 0030807","CPD 0030808","LOG_1052099"
"CPD 0030809","CPD 0030810","LOG_1052099"
"CPD 0030811","CPD 0030812","LOG_1052099"
"CPD 0030813","CPD 0030817","LOG_1052099"
"CPD 0030818","CPD 0030818","LOG_1052099"
"CPD 0030819","CPD 0030819","LOG_1052099"
"CPD 0030820","CPD 0030821","LOG_1052099"
"CPD 0030822","CPD 0030823","LOG_1052099"
"CPD 0030824","CPD 0030825","LOG_1052099"
"CPD 0030826","CPD 0030826","LOG_1052099"
"CPD 0030827","CPD 0030829","LOG_1052099"
"CPD 0030830","CPD 0030832","LOG_1052100"
"CPD 0030833","CPD 0030834","LOG_1052100"
"CPD 0030835","CPD 0030837","LOG_1052101"
"CPD 0030838","CPD 0030839","LOG_1052101"
"CPD 0030840","CPD 0030842","LOG_1052101"
"CPD 0030843","CPD 0030845","LOG_1052102"
"CPD 0030846","CPD 0030847","LOG_1052102"
"CPD 0030848","CPD 0030849","LOG_1052102"
"CPD 0030850","CPD 0030851","LOG_1052102"
"CPD 0030852","CPD 0030854","LOG_1052103"
"CPD 0030855","CPD 0030856","LOG_1052103"
"CPD 0030857","CPD 0030859","LOG_1052105"
"CPD 0030860","CPD 0030861","LOG_1052105"
"CPD 0030862","CPD 0030864","LOG_1052106"
"CPD 0030865","CPD 0030866","LOG_1052106"
"CPD 0030867","CPD 0030869","LOG_1052106"
"CPD 0030870","CPD 0030872","LOG_1052107"
"CPD 0030873","CPD 0030873","LOG_1052107"
"CPD 0030874","CPD 0030874","LOG_1052107"
"CPD 0030875","CPD 0030877","LOG_1052116"
"CPD 0030878","CPD 0030879","LOG_1052116"
"CPD 0030880","CPD 0030882","LOG_1052117"
"CPD 0030883","CPD 0030884","LOG_1052117"
"CPD 0030885","CPD 0030887","LOG_1052118"
"CPD 0030888","CPD 0030888","LOG_1052118"
"CPD 0030889","CPD 0030891","LOG_1052130"
"CPD 0030892","CPD 0030893","LOG_1052130"
"CPD 0030894","CPD 0030896","LOG_1052133"
"CPD 0030897","CPD 0030897","LOG_1052133"
"CPD 0030898","CPD 0030899","LOG_1052133"
"CPD 0030900","CPD 0030902","LOG_1052133"
"CPD 0030903","CPD 0030908","LOG_1052133"
"CPD 0030909","CPD 0030911","LOG_1052133"
"CPD 0030912","CPD 0030912","LOG_1052133"
"CPD 0030913","CPD 0030917","LOG_1052133"
"CPD 0030918","CPD 0030919","LOG_1052133"
"CPD 0030920","CPD 0030920","LOG_1052133"
"CPD 0030921","CPD 0030923","LOG_1052134"
"CPD 0030924","CPD 0030924","LOG_1052134"
"CPD 0030925","CPD 0030929","LOG_1052134"
"CPD 0030930","CPD 0030931","LOG_1052135"
"CPD 0030932","CPD 0030932","LOG_1052135"
"CPD 0030933","CPD 0030935","LOG_1052136"
"CPD 0030936","CPD 0030937","LOG_1052136"
"CPD 0030938","CPD 0030940","LOG_1052136"
"CPD 0030941","CPD 0030945","LOG_1052136"
"CPD 0030946","CPD 0030950","LOG_1052136"
"CPD 0030951","CPD 0030952","LOG_1052136"
"CPD 0030953","CPD 0030954","LOG_1052136"
"CPD 0030955","CPD 0030956","LOG_1052136"
"CPD 0030957","CPD 0030958","LOG_1052136"
"CPD 0030959","CPD 0030961","LOG_1052136"
"CPD 0030962","CPD 0030962","LOG_1052136"
"CPD 0030963","CPD 0030965","LOG_1052140"
"CPD 0030966","CPD 0030967","LOG_1052140"
"CPD 0030968","CPD 0030969","LOG_1052140"
"CPD 0030970","CPD 0030974","LOG_1052140"
"CPD 0030975","CPD 0030976","LOG_1052140"
"CPD 0030977","CPD 0030981","LOG_1052142"
"CPD 0030982","CPD 0030984","LOG_1052142"
"CPD 0030985","CPD 0030986","LOG_1052142"
"CPD 0030987","CPD 0030988","LOG_1052142"
"CPD 0030989","CPD 0030990","LOG_1052142"
"CPD 0030991","CPD 0030991","LOG_1052142"
"CPD 0030992","CPD 0030992","LOG_1052142"
"CPD 0030993","CPD 0030994","LOG_1052142"
"CPD 0030995","CPD 0030997","LOG_1052142"
"CPD 0030998","CPD 0031003","LOG_1052142"
"CPD 0031004","CPD 0031008","LOG_1052142"
"CPD 0031009","CPD 0031013","LOG_1052142"
"CPD 0031014","CPD 0031027","LOG_1052142"
"CPD 0031028","CPD 0031029","LOG_1052142"
"CPD 0031030","CPD 0031054","LOG_1052142"
"CPD 0031055","CPD 0031056","LOG_1052142"
"CPD 0031057","CPD 0031073","LOG_1052142"
"CPD 0031074","CPD 0031074","LOG_1052142"
"CPD 0031075","CPD 0031075","LOG_1052142"
"CPD 0031076","CPD 0031076","LOG_1052142"
"CPD 0031077","CPD 0031077","LOG_1052142"
"CPD 0031078","CPD 0031079","LOG_1052142"
"CPD 0031080","CPD 0031080","LOG_1052142"
"CPD 0031081","CPD 0031083","LOG_1052143"
"CPD 0031084","CPD 0031085","LOG_1052143"
"CPD 0031086","CPD 0031089","LOG_1052144"
"CPD 0031090","CPD 0031091","LOG_1052144"
"CPD 0031092","CPD 0031093","LOG_1052144"
"CPD 0031094","CPD 0031094","LOG_1052144"
"CPD 0031095","CPD 0031108","LOG_1052144"
"CPD 0031109","CPD 0031120","LOG_1052144"
"CPD 0031121","CPD 0031127","LOG_1052144"
"CPD 0031128","CPD 0031205","LOG_1052144"
"CPD 0031206","CPD 0031208","LOG_1052144"
"CPD 0031209","CPD 0031215","LOG_1052144"
"CPD 0031216","CPD 0031216","LOG_1052144"
"CPD 0031217","CPD 0031220","LOG_1052144"
"CPD 0031221","CPD 0031223","LOG_1052144"
"CPD 0031224","CPD 0031232","LOG_1052144"
"CPD 0031233","CPD 0031241","LOG_1052144"
"CPD 0031242","CPD 0031244","LOG_1052146"
"CPD 0031245","CPD 0031246","LOG_1052146"
"CPD 0031247","CPD 0031249","LOG_1052147"
"CPD 0031250","CPD 0031251","LOG_1052147"
"CPD 0031252","CPD 0031254","LOG_1052147"
"CPD 0031255","CPD 0031257","LOG_1052148"
"CPD 0031258","CPD 0031258","LOG_1052148"
"CPD 0031259","CPD 0031263","LOG_1052148"
"CPD 0031264","CPD 0031266","LOG_1052149"
"CPD 0031267","CPD 0031268","LOG_1052149"
"CPD 0031269","CPD 0031270","LOG_1052151"
"CPD 0031271","CPD 0031271","LOG_1052151"
"CPD 0031272","CPD 0031274","LOG_1052157"
"CPD 0031275","CPD 0031276","LOG_1052157"
"CPD 0031277","CPD 0031279","LOG_1052158"
"CPD 0031280","CPD 0031281","LOG_1052158"
"CPD 0031282","CPD 0031284","LOG_1052159"
"CPD 0031285","CPD 0031286","LOG_1052159"
"CPD 0031287","CPD 0031289","LOG_1052164"
"CPD 0031290","CPD 0031291","LOG_1052164"
"CPD 0031292","CPD 0031294","LOG_1052168"
"CPD 0031295","CPD 0031296","LOG_1052168"
"CPD 0031297","CPD 0031299","LOG_1052176"
"CPD 0031300","CPD 0031301","LOG_1052176"
"CPD 0031302","CPD 0031304","LOG_1052178"
"CPD 0031305","CPD 0031306","LOG_1052178"
"CPD 0031307","CPD 0031309","LOG_1052182"
"CPD 0031310","CPD 0031311","LOG_1052182"
"CPD 0031312","CPD 0031314","LOG_1052184"
"CPD 0031315","CPD 0031316","LOG_1052184"
"CPD 0031317","CPD 0031318","LOG_1052186"
"CPD 0031319","CPD 0031319","LOG_1052186"
"CPD 0031320","CPD 0031322","LOG_1052192"
"CPD 0031323","CPD 0031324","LOG_1052192"
"CPD 0031325","CPD 0031327","LOG_1052193"
"CPD 0031328","CPD 0031328","LOG_1052193"
"CPD 0031329","CPD 0031331","LOG_1052207"
"CPD 0031332","CPD 0031333","LOG_1052207"
"CPD 0031334","CPD 0031335","LOG_1052208"
"CPD 0031336","CPD 0031336","LOG_1052208"
"CPD 0031337","CPD 0031339","LOG_1052217"
"CPD 0031340","CPD 0031341","LOG_1052217"
"CPD 0031342","CPD 0031344","LOG_1052218"
"CPD 0031345","CPD 0031346","LOG_1052218"
"CPD 0031347","CPD 0031349","LOG_1052222"
"CPD 0031350","CPD 0031351","LOG_1052222"
"CPD 0031352","CPD 0031354","LOG_1052223"
"CPD 0031355","CPD 0031356","LOG_1052223"
"CPD 0031357","CPD 0031359","LOG_1052224"
"CPD 0031360","CPD 0031361","LOG_1052224"
"CPD 0031362","CPD 0031364","LOG_1052228"
"CPD 0031365","CPD 0031365","LOG_1052228"
"CPD 0031366","CPD 0031367","LOG_1052235"
"CPD 0031368","CPD 0031368","LOG_1052235"
"CPD 0031369","CPD 0031371","LOG_1052243"
"CPD 0031372","CPD 0031373","LOG_1052243"
"CPD 0031374","CPD 0031376","LOG_1052245"
"CPD 0031377","CPD 0031378","LOG_1052245"
"CPD 0031379","CPD 0031381","LOG_1052247"
"CPD 0031382","CPD 0031383","LOG_1052247"
"CPD 0031384","CPD 0031386","LOG_1052251"
"CPD 0031387","CPD 0031388","LOG_1052251"
"CPD 0031389","CPD 0031391","LOG_1052260"
"CPD 0031392","CPD 0031393","LOG_1052260"
"CPD 0031394","CPD 0031395","LOG_1052261"
"CPD 0031396","CPD 0031396","LOG_1052261"
"CPD 0031397","CPD 0031399","LOG_1052263"
"CPD 0031400","CPD 0031401","LOG_1052263"
"CPD 0031402","CPD 0031404","LOG_1052265"
"CPD 0031405","CPD 0031406","LOG_1052265"
"CPD 0031407","CPD 0031409","LOG_1052266"
"CPD 0031410","CPD 0031411","LOG_1052266"
"CPD 0031412","CPD 0031414","LOG_1052273"
"CPD 0031415","CPD 0031415","LOG_1052273"
"CPD 0031416","CPD 0031418","LOG_1052274"
"CPD 0031419","CPD 0031420","LOG_1052274"
"CPD 0031421","CPD 0031423","LOG_1052280"
"CPD 0031424","CPD 0031425","LOG_1052280"
"CPD 0031426","CPD 0031428","LOG_1052281"
"CPD 0031429","CPD 0031430","LOG_1052281"
"CPD 0031431","CPD 0031433","LOG_1052288"
"CPD 0031434","CPD 0031435","LOG_1052288"
"CPD 0031436","CPD 0031438","LOG_1052289"
"CPD 0031439","CPD 0031440","LOG_1052289"
"CPD 0031441","CPD 0031443","LOG_1052290"
"CPD 0031444","CPD 0031445","LOG_1052290"
"CPD 0031446","CPD 0031448","LOG_1052296"
"CPD 0031449","CPD 0031450","LOG_1052296"
"CPD 0031451","CPD 0031453","LOG_1052297"
"CPD 0031454","CPD 0031455","LOG_1052297"
"CPD 0031456","CPD 0031457","LOG_1052300"
"CPD 0031458","CPD 0031458","LOG_1052300"
"CPD 0031459","CPD 0031461","LOG_1052306"
"CPD 0031462","CPD 0031463","LOG_1052306"
"CPD 0031464","CPD 0031466","LOG_1052307"
"CPD 0031467","CPD 0031468","LOG_1052307"
"CPD 0031469","CPD 0031471","LOG_1052308"
"CPD 0031472","CPD 0031473","LOG_1052308"
"CPD 0031474","CPD 0031476","LOG_1052310"
"CPD 0031477","CPD 0031477","LOG_1052310"
"CPD 0031478","CPD 0031479","LOG_1052312"
"CPD 0031480","CPD 0031480","LOG_1052312"
"CPD 0031481","CPD 0031483","LOG_1052319"
"CPD 0031484","CPD 0031485","LOG_1052319"
"CPD 0031486","CPD 0031487","LOG_1052322"
"CPD 0031488","CPD 0031488","LOG_1052322"
"CPD 0031489","CPD 0031491","LOG_1052323"
"CPD 0031492","CPD 0031493","LOG_1052323"
"CPD 0031494","CPD 0031496","LOG_1052324"
"CPD 0031497","CPD 0031498","LOG_1052324"
"CPD 0031499","CPD 0031501","LOG_1052328"
"CPD 0031502","CPD 0031503","LOG_1052328"
"CPD 0031504","CPD 0031506","LOG_1052330"
"CPD 0031507","CPD 0031508","LOG_1052330"
"CPD 0031509","CPD 0031511","LOG_1052332"
"CPD 0031512","CPD 0031513","LOG_1052332"
"CPD 0031514","CPD 0031516","LOG_1052333"
"CPD 0031517","CPD 0031518","LOG_1052333"
"CPD 0031519","CPD 0031521","LOG_1052336"
"CPD 0031522","CPD 0031523","LOG_1052336"
"CPD 0031524","CPD 0031526","LOG_1052340"
"CPD 0031527","CPD 0031527","LOG_1052340"
"CPD 0031528","CPD 0031530","LOG_1052347"
"CPD 0031531","CPD 0031532","LOG_1052347"
"CPD 0031533","CPD 0031534","LOG_1052348"
"CPD 0031535","CPD 0031535","LOG_1052348"
"CPD 0031536","CPD 0031537","LOG_1052349"
"CPD 0031538","CPD 0031538","LOG_1052349"
"CPD 0031539","CPD 0031541","LOG_1052350"
"CPD 0031542","CPD 0031543","LOG_1052350"
"CPD 0031544","CPD 0031546","LOG_1052351"
"CPD 0031547","CPD 0031548","LOG_1052351"
"CPD 0031549","CPD 0031551","LOG_1052352"
"CPD 0031552","CPD 0031553","LOG_1052352"
"CPD 0031554","CPD 0031556","LOG_1052353"
"CPD 0031557","CPD 0031558","LOG_1052353"
"CPD 0031559","CPD 0031561","LOG_1052363"
