"Production::Begin Bates","Production::End Bates","Log Number"
"CPD 0018061","CPD 0018062","LOG_1049114"
"CPD 0018063","CPD 0018063","LOG_1049114"
"CPD 0018064","CPD 0018064","LOG_1049114"
"CPD 0018065","CPD 0018065","LOG_1049114"
"CPD 0018066","CPD 0018066","LOG_1049114"
"CPD 0018067","CPD 0018067","LOG_1049114"
"CPD 0018068","CPD 0018068","LOG_1049114"
"CPD 0018069","CPD 0018069","LOG_1049114"
"CPD 0018070","CPD 0018071","LOG_1049114"
"CPD 0018072","CPD 0018072","LOG_1049114"
"CPD 0018073","CPD 0018073","LOG_1049114"
"CPD 0018074","CPD 0018075","LOG_1049114"
"CPD 0018076","CPD 0018076","LOG_1049114"
"CPD 0018077","CPD 0018086","LOG_1049114"
"CPD 0018087","CPD 0018087","LOG_1049114"
"CPD 0018088","CPD 0018089","LOG_1049116"
"CPD 0018090","CPD 0018093","LOG_1049118"
"CPD 0018094","CPD 0018097","LOG_1049118"
"CPD 0018098","CPD 0018099","LOG_1049118"
"CPD 0018100","CPD 0018101","LOG_1049118"
"CPD 0018102","CPD 0018103","LOG_1049118"
"CPD 0018104","CPD 0018120","LOG_1049118"
"CPD 0018121","CPD 0018134","LOG_1049118"
"CPD 0018135","CPD 0018135","LOG_1049118"
"CPD 0018136","CPD 0018136","LOG_1049119"
"CPD 0018137","CPD 0018139","LOG_1049122"
"CPD 0018140","CPD 0018141","LOG_1049122"
"CPD 0018142","CPD 0018142","LOG_1049122"
"CPD 0018143","CPD 0018145","LOG_1049124"
"CPD 0018146","CPD 0018147","LOG_1049131"
"CPD 0018148","CPD 0018149","LOG_1049141"
"CPD 0018150","CPD 0018152","LOG_1049143"
"CPD 0018153","CPD 0018157","LOG_1049143"
"CPD 0018158","CPD 0018160","LOG_1049144"
"CPD 0018161","CPD 0018162","LOG_1049144"
"CPD 0018163","CPD 0018167","LOG_1049144"
"CPD 0018168","CPD 0018169","LOG_1049144"
"CPD 0018170","CPD 0018171","LOG_1049144"
"CPD 0018172","CPD 0018174","LOG_1049145"
"CPD 0018175","CPD 0018176","LOG_1049145"
"CPD 0018177","CPD 0018177","LOG_1049145"
"CPD 0018178","CPD 0018180","LOG_1049146"
"CPD 0018181","CPD 0018182","LOG_1049146"
"CPD 0018183","CPD 0018185","LOG_1049148"
"CPD 0018186","CPD 0018187","LOG_1049148"
"CPD 0018188","CPD 0018192","LOG_1049148"
"CPD 0018193","CPD 0018195","LOG_1049149"
"CPD 0018196","CPD 0018197","LOG_1049149"
"CPD 0018198","CPD 0018203","LOG_1049149"
"CPD 0018204","CPD 0018207","LOG_1049149"
"CPD 0018208","CPD 0018210","LOG_1049150"
"CPD 0018211","CPD 0018212","LOG_1049150"
"CPD 0018213","CPD 0018215","LOG_1049153"
"CPD 0018216","CPD 0018216","LOG_1049153"
"CPD 0018217","CPD 0018220","LOG_1049156"
"CPD 0018221","CPD 0018222","LOG_1049160"
"CPD 0018223","CPD 0018225","LOG_1049161"
"CPD 0018226","CPD 0018228","LOG_1049161"
"CPD 0018229","CPD 0018229","LOG_1049162"
"CPD 0018230","CPD 0018230","LOG_1049162"
"CPD 0018231","CPD 0018232","LOG_1049164"
"CPD 0018233","CPD 0018237","LOG_1049170"
"CPD 0018238","CPD 0018240","LOG_1049174"
"CPD 0018241","CPD 0018245","LOG_1049174"
"CPD 0018246","CPD 0018246","LOG_1049175"
"CPD 0018247","CPD 0018248","LOG_1049176"
"CPD 0018249","CPD 0018249","LOG_1049176"
"CPD 0018250","CPD 0018251","LOG_1049182"
"CPD 0018252","CPD 0018254","LOG_1049186"
"CPD 0018255","CPD 0018257","LOG_1049187"
"CPD 0018258","CPD 0018260","LOG_1049188"
"CPD 0018261","CPD 0018262","LOG_1049190"
"CPD 0018263","CPD 0018267","LOG_1049190"
"CPD 0018268","CPD 0018270","LOG_1049192"
"CPD 0018271","CPD 0018273","LOG_1049193"
"CPD 0018274","CPD 0018274","LOG_1049195"
"CPD 0018275","CPD 0018277","LOG_1049196"
"CPD 0018278","CPD 0018280","LOG_1049196"
"CPD 0018281","CPD 0018282","LOG_1049197"
"CPD 0018283","CPD 0018285","LOG_1049201"
"CPD 0018286","CPD 0018288","LOG_1049204"
"CPD 0018289","CPD 0018290","LOG_1049204"
"CPD 0018291","CPD 0018291","LOG_1049204"
"CPD 0018292","CPD 0018294","LOG_1049205"
"CPD 0018295","CPD 0018295","LOG_1049205"
"CPD 0018296","CPD 0018297","LOG_1049205"
"CPD 0018298","CPD 0018302","LOG_1049205"
"CPD 0018303","CPD 0018305","LOG_1049206"
"CPD 0018306","CPD 0018307","LOG_1049206"
"CPD 0018308","CPD 0018314","LOG_1049206"
"CPD 0018315","CPD 0018317","LOG_1049207"
